step,time_s,inventory_mol,input_mol,residual_mol,inventory_rate_mol_s,input_rate_mol_s,balance_rate_mol_s,predicted_rate_mol_s,predicted_integral_mol,loop_inventory_mol,supplied_inventory,current_A,capacity_Ah
0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850000962e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.490468974241151721e-18,0.000000000000000000e+00,1.490468974241151721e-18,-1.063047146315901676e-20,0.000000000000000000e+00,2.669565878849998186e-01,2.766810063355792908e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,2.669565878850000962e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.535052436497313141e-18,0.000000000000000000e+00,1.535052436497313141e-18,8.239699903238263740e-19,2.033348797151668343e-18,2.669565878849998186e-01,2.766810063355792908e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,2.669565878850003182e-01,0.000000000000000000e+00,2.220446049250313081e-16,1.914989872231346621e-18,0.000000000000000000e+00,1.914989872231346621e-18,8.316168577644811402e-19,6.172315917372436743e-18,2.669565878850001517e-01,2.766810063355792061e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,2.669565878850001517e-01,0.000000000000000000e+00,5.551115123125782702e-17,1.188542564313057348e-18,0.000000000000000000e+00,1.188542564313057348e-18,-4.586753338968971098e-19,7.104669727041396819e-18,2.669565878850002072e-01,2.766810063355791638e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+01,2.669565878850001517e-01,0.000000000000000000e+00,5.551115123125782702e-17,8.263861972975324497e-19,0.000000000000000000e+00,8.263861972975324497e-19,-9.281543426939452956e-19,3.637595535564290613e-18,2.669565878850000407e-01,2.766810063355792061e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e+01,2.669565878849999296e-01,0.000000000000000000e+00,-1.665334536937734811e-16,1.780982879681314467e-18,0.000000000000000000e+00,1.780982879681314467e-18,4.942302882268492953e-19,2.552785399396550419e-18,2.669565878850001517e-01,2.766810063355793332e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+01,2.669565878850002072e-01,0.000000000000000000e+00,1.110223024625156540e-16,1.629213738625298662e-18,0.000000000000000000e+00,1.629213738625298662e-18,7.106856160711174995e-19,5.565075160141467406e-18,2.669565878850000407e-01,2.766810063355792061e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.500000000000000000e+01,2.669565878849999851e-01,0.000000000000000000e+00,-1.110223024625156540e-16,1.267182757239069179e-18,0.000000000000000000e+00,1.267182757239069179e-18,-5.433684921052007227e-20,7.205947077292960974e-18,2.669565878850000962e-01,2.766810063355792908e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,2.669565878849999851e-01,0.000000000000000000e+00,-1.110223024625156540e-16,1.633256119647336524e-18,0.000000000000000000e+00,1.633256119647336524e-18,2.262365149484129247e-19,7.635696241637693106e-18,2.669565878850000407e-01,2.766810063355793332e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.500000000000000000e+01,2.669565878849999851e-01,0.000000000000000000e+00,-1.110223024625156540e-16,2.108019636699155165e-18,0.000000000000000000e+00,2.108019636699155165e-18,9.565301314803347976e-19,1.059261285770956241e-17,2.669565878850001517e-01,2.766810063355791214e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+01,2.669565878850000962e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.489238527624610266e-18,0.000000000000000000e+00,1.489238527624610266e-18,8.143554597861072836e-20,1.318752705135692574e-17,2.669565878850000962e-01,2.766810063355790791e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.500000000000000000e+01,2.669565878850000962e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.733644721564889945e-18,0.000000000000000000e+00,1.733644721564889945e-18,2.673495945197465538e-19,1.405948990260282001e-17,2.669565878850001517e-01,2.766810063355792908e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+01,2.669565878850002072e-01,0.000000000000000000e+00,1.110223024625156540e-16,2.383241592841349933e-18,0.000000000000000000e+00,2.383241592841349933e-18,1.258349600167245266e-18,1.787373788932029802e-17,2.669565878849999851e-01,2.766810063355791214e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.500000000000000000e+01,2.669565878850003182e-01,0.000000000000000000e+00,2.220446049250313081e-16,1.625515893022994255e-18,0.000000000000000000e+00,1.625515893022994255e-18,1.764550588187334645e-19,2.146074953678524484e-17,2.669565878850002627e-01,2.766810063355792061e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+01,2.669565878850003182e-01,0.000000000000000000e+00,2.220446049250313081e-16,1.969442548908993776e-18,0.000000000000000000e+00,1.969442548908993776e-18,9.360937480779746281e-19,2.424212155402701507e-17,2.669565878850004292e-01,2.766810063355792061e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.500000000000000000e+01,2.669565878850002072e-01,0.000000000000000000e+00,1.110223024625156540e-16,2.054907602278289197e-18,0.000000000000000000e+00,2.054907602278289197e-18,1.080647805473163818e-18,2.928397543790486427e-17,2.669565878850003182e-01,2.766810063355791214e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+01,2.669565878850002072e-01,0.000000000000000000e+00,1.110223024625156540e-16,3.284840001313593771e-18,0.000000000000000000e+00,3.284840001313593771e-18,1.326211114715820752e-18,3.530112273837732570e-17,2.669565878850003737e-01,2.766810063355790367e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.500000000000000000e+01,2.669565878850000962e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.145995758773250508e-18,0.000000000000000000e+00,3.145995758773250508e-18,1.189978128666630027e-18,4.159159584683345265e-17,2.669565878850003737e-01,2.766810063355791214e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+01,2.669565878850002072e-01,0.000000000000000000e+00,1.110223024625156540e-16,2.478909166889512019e-18,0.000000000000000000e+00,2.478909166889512019e-18,7.836814529089287111e-19,4.652574480077234949e-17,2.669565878850003737e-01,2.766810063355792908e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.500000000000000000e+01,2.669565878850001517e-01,0.000000000000000000e+00,5.551115123125782702e-17,2.142397799482053124e-18,0.000000000000000000e+00,2.142397799482053124e-18,7.950267537716314691e-19,5.047251531747374994e-17,2.669565878850002627e-01,2.766810063355791638e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+02,2.669565878850000407e-01,0.000000000000000000e+00,-5.551115123125782702e-17,1.315148532925225561e-18,0.000000000000000000e+00,1.315148532925225561e-18,3.457755161245778102e-19,5.332452099221427314e-17,2.669565878850003182e-01,2.766810063355792061e-06,0.000000000000000000e+00,0.000000000000000000e+00
