step,time_s,inventory_mol,input_mol,residual_mol,inventory_rate_mol_s,input_rate_mol_s,balance_rate_mol_s,predicted_rate_mol_s,predicted_integral_mol,loop_inventory_mol,supplied_inventory,current_A,capacity_Ah
0.000000000000000000e+00,0.000000000000000000e+00,9.754383258831857194e-05,0.000000000000000000e+00,0.000000000000000000e+00,-2.746282580119442629e-22,0.000000000000000000e+00,-2.746282580119442629e-22,-0.000000000000000000e+00,0.000000000000000000e+00,9.754383258831851773e-05,1.355988415435423287e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,9.754383258768264671e-05,0.000000000000000000e+00,-6.359252317442165570e-16,-1.237396834708038564e-16,0.000000000000000000e+00,-1.237396834708038564e-16,-1.237394323059311639e-16,-3.093485807648279096e-16,9.754383258768249763e-05,1.355988415537475171e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,9.754383258706542396e-05,0.000000000000000000e+00,-1.253147976013058162e-15,-1.230266257758775027e-16,0.000000000000000000e+00,-1.230266257758775027e-16,-1.230263372543245238e-16,-9.262630046654670055e-16,9.754383258706553238e-05,1.355988415636502132e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,9.754383258640064540e-05,0.000000000000000000e+00,-1.917926538072545206e-15,-1.284337675454913015e-16,0.000000000000000000e+00,-1.284337675454913015e-16,-1.284335164567983395e-16,-1.554912638943274053e-15,9.754383258640045567e-05,1.355988415743188981e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+01,9.754383258575391881e-05,0.000000000000000000e+00,-2.564653133960148601e-15,-1.320286153858323623e-16,0.000000000000000000e+00,-1.320286153858323623e-16,-1.320283239694461192e-16,-2.206067240008885409e-15,9.754383258575390525e-05,1.355988415846960411e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e+01,9.754383258520266976e-05,0.000000000000000000e+00,-3.115902176033247262e-15,-1.261085832145242011e-16,0.000000000000000000e+00,-1.261085832145242011e-16,-1.261081760524210103e-16,-2.851408490063553196e-15,9.754383258520257490e-05,1.355988415935408269e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+01,9.754383258465142072e-05,0.000000000000000000e+00,-3.667151218106345922e-15,-1.201884954699710199e-16,0.000000000000000000e+00,-1.201884954699710199e-16,-1.201880281353310423e-16,-3.467149000532933254e-15,9.754383258465147493e-05,1.355988416023858837e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.500000000000000000e+01,9.754383258410022589e-05,0.000000000000000000e+00,-4.218346050070820308e-15,-1.142680712009898303e-16,0.000000000000000000e+00,-1.142680712009898303e-16,-1.142678802181764124e-16,-4.053288771416702149e-15,9.754383258410025299e-05,1.355988416112307508e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,9.754383258354205151e-05,0.000000000000000000e+00,-4.776520433520670128e-15,-1.104253385073733329e-16,0.000000000000000000e+00,-1.104253385073733329e-16,-1.104251434584618964e-16,-4.615021330608298094e-15,9.754383258354202440e-05,1.355988416201884563e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.500000000000000000e+01,9.754383258296886092e-05,0.000000000000000000e+00,-5.349711017059444185e-15,-1.109972687406396505e-16,0.000000000000000000e+00,-1.109972687406396505e-16,-1.109969077339859621e-16,-5.168576458589418005e-15,9.754383258296894224e-05,1.355988416293857704e-04,0.000000000000000000e+00,0.000000000000000000e+00
