step,time_s,inventory_mol,input_mol,residual_mol,inventory_rate_mol_s,input_rate_mol_s,balance_rate_mol_s,predicted_rate_mol_s,predicted_integral_mol,loop_inventory_mol,supplied_inventory,current_A,capacity_Ah
0.000000000000000000e+00,0.000000000000000000e+00,9.754383255148094643e-05,0.000000000000000000e+00,0.000000000000000000e+00,-8.156570848173687483e-17,0.000000000000000000e+00,-8.156570848173687483e-17,-8.156553479174291742e-17,0.000000000000000000e+00,9.754383255148100064e-05,1.355988415067047167e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,9.754383255082589859e-05,0.000000000000000000e+00,-6.550478475614296414e-16,-1.424455876585022058e-16,0.000000000000000000e+00,-1.424455876585022058e-16,-1.424454667325572895e-16,-5.600275038107505791e-16,9.754383255082577661e-05,1.355988415172161110e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,9.754383255016061858e-05,0.000000000000000000e+00,-1.320327853125691231e-15,-1.337513004555793180e-16,0.000000000000000000e+00,-1.337513004555793180e-16,-1.337507805568622000e-16,-1.250518122034299315e-15,9.754383255016063213e-05,1.355988415278907048e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,9.754383254958000121e-05,0.000000000000000000e+00,-1.900945221545990993e-15,-1.241723041475688702e-16,0.000000000000000000e+00,-1.241723041475688702e-16,-1.241718059220111593e-16,-1.895324588231482874e-15,9.754383254958005542e-05,1.355988415372077148e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+01,9.754383254897363404e-05,0.000000000000000000e+00,-2.507312391562821485e-15,-1.174666836441430206e-16,0.000000000000000000e+00,-1.174666836441430206e-16,-1.174661653737696816e-16,-2.499419516470934877e-15,9.754383254897352562e-05,1.355988415469374265e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e+01,9.754383254823212107e-05,0.000000000000000000e+00,-3.248825362379970105e-15,-1.258459213694543804e-16,0.000000000000000000e+00,-1.258459213694543804e-16,-1.258455352139370108e-16,-3.107698767940201559e-15,9.754383254823190423e-05,1.355988415588359761e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+01,9.754383254749056744e-05,0.000000000000000000e+00,-3.990378990778586932e-15,-1.342252957138718103e-16,0.000000000000000000e+00,-1.342252957138718103e-16,-1.342249050542225705e-16,-3.757874868610600167e-15,9.754383254749060810e-05,1.355988415707346613e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.500000000000000000e+01,9.754383254674909513e-05,0.000000000000000000e+00,-4.731851304014267345e-15,-1.426047040726979313e-16,0.000000000000000000e+00,-1.426047040726979313e-16,-1.426042748946263854e-16,-4.449947818482722347e-15,9.754383254674894605e-05,1.355988415826331025e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,9.754383254608693220e-05,0.000000000000000000e+00,-5.394014228332633110e-15,-1.462361665108450781e-16,0.000000000000000000e+00,-1.462361665108450781e-16,-1.462357135075340540e-16,-5.172047789488123643e-15,9.754383254608685089e-05,1.355988415932583651e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.500000000000000000e+01,9.754383254559332206e-05,0.000000000000000000e+00,-5.887624372410971141e-15,-1.397782358752164215e-16,0.000000000000000000e+00,-1.397782358752164215e-16,-1.397777929466868704e-16,-5.887081555623675719e-15,9.754383254559345759e-05,1.355988416011777030e-04,0.000000000000000000e+00,0.000000000000000000e+00
