step,time_s,inventory_mol,input_mol,residual_mol,inventory_rate_mol_s,input_rate_mol_s,balance_rate_mol_s,predicted_rate_mol_s,predicted_integral_mol,loop_inventory_mol,supplied_inventory,current_A,capacity_Ah
0.000000000000000000e+00,0.000000000000000000e+00,2.669565878849998186e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.767618298749157009e-18,0.000000000000000000e+00,2.767618298749157009e-18,-1.010334749750251098e-19,0.000000000000000000e+00,2.669565878850003737e-01,2.766810063355795450e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,2.669565878850003182e-01,0.000000000000000000e+00,4.996003610813204432e-16,1.313008383605778582e-18,0.000000000000000000e+00,1.313008383605778582e-18,1.387263395869969576e-19,9.423216152992961954e-20,2.669565878850002627e-01,2.766810063355795450e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,2.669565878849999851e-01,0.000000000000000000e+00,1.665334536937734811e-16,1.454733284716663719e-18,0.000000000000000000e+00,1.454733284716663719e-18,2.384473148565527931e-19,1.037166297638803996e-18,2.669565878850003737e-01,2.766810063355794179e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,2.669565878850000962e-01,0.000000000000000000e+00,2.775557561562891351e-16,1.719240870204514505e-18,0.000000000000000000e+00,1.719240870204514505e-18,2.603318686625985906e-19,2.284114256436682455e-18,2.669565878850004848e-01,2.766810063355793332e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+01,2.669565878850000962e-01,0.000000000000000000e+00,2.775557561562891351e-16,2.140217757954786107e-18,0.000000000000000000e+00,2.140217757954786107e-18,4.138787880664657847e-19,3.969640898259343394e-18,2.669565878850004848e-01,2.766810063355795026e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e+01,2.669565878850000962e-01,0.000000000000000000e+00,2.775557561562891351e-16,1.574150512857344185e-18,0.000000000000000000e+00,1.574150512857344185e-18,2.372244931108116136e-19,5.597399101202536889e-18,2.669565878850006513e-01,2.766810063355793755e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+01,2.669565878849998741e-01,0.000000000000000000e+00,5.551115123125782702e-17,3.564145161761717726e-18,0.000000000000000000e+00,3.564145161761717726e-18,2.050213255587136791e-18,1.131599347294740790e-17,2.669565878850003182e-01,2.766810063355796297e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.500000000000000000e+01,2.669565878850000407e-01,0.000000000000000000e+00,2.220446049250313081e-16,1.453855370364401838e-18,0.000000000000000000e+00,1.453855370364401838e-18,2.179849768209488634e-19,1.698648905396762204e-17,2.669565878850007068e-01,2.766810063355795450e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,2.669565878850002627e-01,0.000000000000000000e+00,4.440892098500626162e-16,1.113437775639837794e-18,0.000000000000000000e+00,1.113437775639837794e-18,1.156393667505104100e-19,1.782054991289627022e-17,2.669565878850005958e-01,2.766810063355794179e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.500000000000000000e+01,2.669565878850000962e-01,0.000000000000000000e+00,2.775557561562891351e-16,1.192866316124665254e-18,0.000000000000000000e+00,1.192866316124665254e-18,8.139246141304293332e-21,1.812999644512580698e-17,2.669565878850006513e-01,2.766810063355794602e-06,0.000000000000000000e+00,0.000000000000000000e+00
