step,time_s,inventory_mol,input_mol,residual_mol,inventory_rate_mol_s,input_rate_mol_s,balance_rate_mol_s,predicted_rate_mol_s,predicted_integral_mol,loop_inventory_mol,supplied_inventory,current_A,capacity_Ah
0.000000000000000000e+00,0.000000000000000000e+00,2.669565878849998186e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.767618298749206313e-18,0.000000000000000000e+00,2.767618298749206313e-18,-1.010334749750189468e-19,0.000000000000000000e+00,2.669565878850003737e-01,2.766810063355795450e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,2.669565878850003182e-01,0.000000000000000000e+00,4.996003610813204432e-16,1.313008383628655548e-18,0.000000000000000000e+00,1.313008383628655548e-18,1.387263396098739239e-19,9.423216158713744261e-20,2.669565878850002627e-01,2.766810063355795450e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,2.669565878849999851e-01,0.000000000000000000e+00,1.665334536937734811e-16,1.454733284783075946e-18,0.000000000000000000e+00,1.454733284783075946e-18,2.384473149229773465e-19,1.037166297919265618e-18,2.669565878850003737e-01,2.766810063355794179e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,2.669565878850000962e-01,0.000000000000000000e+00,2.775557561562891351e-16,1.719240870219083780e-18,0.000000000000000000e+00,1.719240870219083780e-18,2.603318686771740284e-19,2.284114256919644056e-18,2.669565878850004848e-01,2.766810063355793332e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+01,2.669565878850000962e-01,0.000000000000000000e+00,2.775557561562891351e-16,2.140217757949190125e-18,0.000000000000000000e+00,2.140217757949190125e-18,4.138787880608667212e-19,3.969640898764745930e-18,2.669565878850004848e-01,2.766810063355795026e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e+01,2.669565878850000962e-01,0.000000000000000000e+00,2.775557561562891351e-16,1.574150512856974407e-18,0.000000000000000000e+00,1.574150512856974407e-18,2.372244931104479980e-19,5.597399101693032728e-18,2.669565878850006513e-01,2.766810063355793755e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+01,2.669565878849998741e-01,0.000000000000000000e+00,5.551115123125782702e-17,3.564145161771405924e-18,0.000000000000000000e+00,3.564145161771405924e-18,2.050213255596800337e-18,1.131599347346115357e-17,2.669565878850003182e-01,2.766810063355796297e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.500000000000000000e+01,2.669565878850000407e-01,0.000000000000000000e+00,2.220446049250313081e-16,1.453855370388338836e-18,0.000000000000000000e+00,1.453855370388338836e-18,2.179849768448920244e-19,1.698648905456538447e-17,2.669565878850007068e-01,2.766810063355795450e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,2.669565878850002627e-01,0.000000000000000000e+00,4.440892098500626162e-16,1.113437775672871344e-18,0.000000000000000000e+00,1.113437775672871344e-18,1.156393667835254715e-19,1.782054991363642821e-17,2.669565878850005958e-01,2.766810063355794179e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.500000000000000000e+01,2.669565878850000962e-01,0.000000000000000000e+00,2.775557561562891351e-16,1.192866316148109214e-18,0.000000000000000000e+00,1.192866316148109214e-18,8.139246164772905262e-21,1.812999644600717415e-17,2.669565878850006513e-01,2.766810063355794602e-06,0.000000000000000000e+00,0.000000000000000000e+00
