step,time_s,inventory_mol,input_mol,residual_mol,inventory_rate_mol_s,input_rate_mol_s,balance_rate_mol_s,predicted_rate_mol_s,predicted_integral_mol,loop_inventory_mol,supplied_inventory,current_A,capacity_Ah
0.000000000000000000e+00,0.000000000000000000e+00,2.669565878849998186e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.219083744672393755e-18,0.000000000000000000e+00,-1.219083744672393755e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850003737e-01,2.669565878850001517e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,2.669565878850001517e-01,0.000000000000000000e+00,3.330669073875469621e-16,-1.506545780670980598e-18,0.000000000000000000e+00,-1.506545780670980598e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850003737e-01,2.669565878850001517e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,2.669565878849999851e-01,0.000000000000000000e+00,1.665334536937734811e-16,-1.940051661847395623e-18,0.000000000000000000e+00,-1.940051661847395623e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850005958e-01,2.669565878850003182e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,2.669565878850000962e-01,0.000000000000000000e+00,2.775557561562891351e-16,-2.207407022865186445e-18,0.000000000000000000e+00,-2.207407022865186445e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850003182e-01,2.669565878850002072e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+01,2.669565878849999296e-01,0.000000000000000000e+00,1.110223024625156540e-16,-2.046740141338235254e-18,0.000000000000000000e+00,-2.046740141338235254e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850002072e-01,2.669565878850001517e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e+01,2.669565878850000962e-01,0.000000000000000000e+00,2.775557561562891351e-16,-1.725779414925681333e-18,0.000000000000000000e+00,-1.725779414925681333e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850001517e-01,2.669565878850000407e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+01,2.669565878850002072e-01,0.000000000000000000e+00,3.885780586188047891e-16,-1.972916189970385918e-18,0.000000000000000000e+00,-1.972916189970385918e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850002627e-01,2.669565878850002072e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.500000000000000000e+01,2.669565878849999296e-01,0.000000000000000000e+00,1.110223024625156540e-16,-1.923488834961604005e-18,0.000000000000000000e+00,-1.923488834961604005e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850000962e-01,2.669565878850001517e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,2.669565878850000962e-01,0.000000000000000000e+00,2.775557561562891351e-16,-2.284737518664492979e-18,0.000000000000000000e+00,-2.284737518664492979e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850000407e-01,2.669565878850000962e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.500000000000000000e+01,2.669565878849999296e-01,0.000000000000000000e+00,1.110223024625156540e-16,-2.116162260336142352e-18,0.000000000000000000e+00,-2.116162260336142352e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850004848e-01,2.669565878850002627e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+01,2.669565878849999851e-01,0.000000000000000000e+00,1.665334536937734811e-16,-1.727831116454848156e-18,0.000000000000000000e+00,-1.727831116454848156e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850004848e-01,2.669565878850001517e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.500000000000000000e+01,2.669565878849999851e-01,0.000000000000000000e+00,1.665334536937734811e-16,-2.107880846893049328e-18,0.000000000000000000e+00,-2.107880846893049328e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850007623e-01,2.669565878850002627e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+01,2.669565878850002072e-01,0.000000000000000000e+00,3.885780586188047891e-16,-1.874434516594427859e-18,0.000000000000000000e+00,-1.874434516594427859e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850000962e-01,2.669565878850001517e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.500000000000000000e+01,2.669565878850000962e-01,0.000000000000000000e+00,2.775557561562891351e-16,-2.377698249745357160e-18,0.000000000000000000e+00,-2.377698249745357160e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850000407e-01,2.669565878849999851e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+01,2.669565878850000962e-01,0.000000000000000000e+00,2.775557561562891351e-16,-1.710261090636473990e-18,0.000000000000000000e+00,-1.710261090636473990e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850002627e-01,2.669565878850002072e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.500000000000000000e+01,2.669565878849999296e-01,0.000000000000000000e+00,1.110223024625156540e-16,-2.137201526920876521e-18,0.000000000000000000e+00,-2.137201526920876521e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850003182e-01,2.669565878850000407e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+01,2.669565878849999851e-01,0.000000000000000000e+00,1.665334536937734811e-16,-2.073076528233992856e-18,0.000000000000000000e+00,-2.073076528233992856e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850004292e-01,2.669565878850000962e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.500000000000000000e+01,2.669565878849998741e-01,0.000000000000000000e+00,5.551115123125782702e-17,-1.832952842051205805e-18,0.000000000000000000e+00,-1.832952842051205805e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850004848e-01,2.669565878850000407e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+01,2.669565878849997631e-01,0.000000000000000000e+00,-5.551115123125782702e-17,-1.762598131449754990e-18,0.000000000000000000e+00,-1.762598131449754990e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850003737e-01,2.669565878850000407e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.500000000000000000e+01,2.669565878849998741e-01,0.000000000000000000e+00,5.551115123125782702e-17,-2.171819327259258762e-18,0.000000000000000000e+00,-2.171819327259258762e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850004292e-01,2.669565878850002072e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+02,2.669565878849999296e-01,0.000000000000000000e+00,1.110223024625156540e-16,-1.820679936543164818e-18,0.000000000000000000e+00,-1.820679936543164818e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850006513e-01,2.669565878850002072e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.050000000000000000e+02,2.669565878849998186e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.921772866410449519e-18,0.000000000000000000e+00,-1.921772866410449519e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850005958e-01,2.669565878850001517e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.100000000000000000e+02,2.669565878849998741e-01,0.000000000000000000e+00,5.551115123125782702e-17,-2.055916842721387959e-18,0.000000000000000000e+00,-2.055916842721387959e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850005958e-01,2.669565878850000407e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.150000000000000000e+02,2.669565878849997631e-01,0.000000000000000000e+00,-5.551115123125782702e-17,-1.607713317867020634e-18,0.000000000000000000e+00,-1.607713317867020634e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850004848e-01,2.669565878850000962e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+02,2.669565878849998741e-01,0.000000000000000000e+00,5.551115123125782702e-17,-2.275486209953299844e-18,0.000000000000000000e+00,-2.275486209953299844e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850004848e-01,2.669565878850001517e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.250000000000000000e+02,2.669565878850000407e-01,0.000000000000000000e+00,2.220446049250313081e-16,-1.497667508601863156e-18,0.000000000000000000e+00,-1.497667508601863156e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850003737e-01,2.669565878850001517e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+02,2.669565878849998186e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.252917493137875878e-18,0.000000000000000000e+00,-2.252917493137875878e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850003737e-01,2.669565878849999851e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.350000000000000000e+02,2.669565878849999296e-01,0.000000000000000000e+00,1.110223024625156540e-16,-2.019956110473238212e-18,0.000000000000000000e+00,-2.019956110473238212e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850001517e-01,2.669565878849999851e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+02,2.669565878849998186e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.519302958887665196e-18,0.000000000000000000e+00,-2.519302958887665196e-18,0.000000000000000000e+00,0.000000000000000000e+00,2.669565878850001517e-01,2.669565878849998741e-01,0.000000000000000000e+00,0.000000000000000000e+00
