revision,case,nx,nr,tol,status,initial_inventory_mol,max_abs_residual_mol,relative_max,final_residual_mol,max_rate_mol_s,max_rate_prediction_error_mol_s,max_supplied_residual_mol,max_integrated_rate_closure_mol,quadrature_disagreement_mol,runtime_seconds,error
baseline,basic_constant,20,20,1e-06,completed,0.2669565878850001,4.6629367034256575e-15,1.746702241127821e-14,4.6629367034256575e-15,3.6093646477844735e-09,1.9586288865978346e-18,4.828087799349512e-20,2.3436820599992753e-07,4.0955178777507976e-08,2.205135458963923,
baseline,basic_constant,20,20,1e-08,completed,0.2669565878850001,4.718447854656915e-15,1.7674963154269615e-14,4.551914400963142e-15,6.982767433737135e-11,1.9586288865978346e-18,5.039846036163087e-20,1.868262430205931e-09,4.391468488224175e-10,2.284798000007868,
baseline,basic_constant,20,20,1e-10,completed,0.2669565878850001,4.829470157119431e-15,1.809084464025243e-14,4.6629367034256575e-15,8.189338354040558e-13,2.1612996939667684e-18,4.912791094074942e-20,7.223876543743584e-12,3.5075316227998004e-12,2.426006417023018,
baseline,basic_constant,20,80,1e-10,completed,0.26695658788500065,7.327471962526033e-15,2.74481780748657e-14,7.105427357601002e-15,1.9158564098782464e-12,1.1675487326385837e-17,8.893845946170154e-20,3.764903812096607e-11,7.945936701774809e-12,10.360270707984455,
baseline,basic_constant,40,40,1e-10,completed,0.2669565878849986,6.938893903907228e-15,2.5992592873926054e-14,-6.494804694057166e-15,5.714056343971569e-13,5.078586119838329e-18,9.190307477709159e-20,9.455248912551952e-12,4.297948101764775e-12,7.662775292061269,
baseline,basic_constant,80,20,1e-10,completed,0.2669565878849999,5.384581669432009e-15,2.017025207016652e-14,4.884981308350689e-15,5.099610170782597e-13,1.693623656424306e-18,6.056285572868247e-20,5.199161146191319e-12,4.291888425508453e-12,8.37043062504381,
baseline,basic_constant,80,80,1e-10,completed,0.26695658788500054,7.16093850883226e-15,2.6824355845891492e-14,6.772360450213455e-15,1.172951458996898e-12,1.167548732637906e-17,7.115076756936123e-20,1.2876062534902796e-11,2.717203773763215e-12,28.56061433395371,
baseline,basic_variable,20,20,1e-06,completed,0.2669565878850001,0.006518387000820358,0.024417404539304185,0.006518387000820358,4.5167741483547776e-06,2.0625252265642213e-18,6.75583206003761e-08,1.1610220776838223e-06,1.048577344781379e-06,2.2979562499094754,
baseline,basic_variable,20,20,1e-08,completed,0.2669565878850001,0.006518391173237659,0.02441742016887652,0.006518391173237659,4.516855979199741e-06,2.225236616137077e-18,6.755836384443578e-08,1.1703131080342821e-06,1.0481508548685486e-06,2.391808083979413,
baseline,basic_variable,20,20,1e-10,completed,0.2669565878850001,0.0065183911440975795,0.024417420059719898,0.0065183911440975795,4.5168560006008415e-06,2.1612996939667746e-18,6.755836354241814e-08,1.1702209005044761e-06,1.0480920867861343e-06,2.7528166660340503,
baseline,basic_variable,20,80,1e-10,completed,0.26695658788500065,0.006518403345920576,0.02441746576686307,0.006518403345920576,4.515291475662637e-06,1.1675487326385837e-17,6.755849000541167e-08,1.2968783564531322e-06,1.067116314667528e-06,7.196710792020895,
baseline,basic_variable,40,40,1e-10,completed,0.2669565878849986,0.0065161180514641814,0.024408905219717746,0.0065161180514641814,4.511238799338842e-06,5.0785861198380826e-18,6.75348045973914e-08,1.2548299245110708e-06,1.0613197585452802e-06,7.865694332984276,
baseline,basic_variable,80,20,1e-10,completed,0.2669565878849999,0.006515537438902486,0.024406730287207832,0.006515537438902486,4.511379206435131e-06,1.7440408383966044e-18,6.752878697226191e-08,1.1660617067997536e-06,1.044977201738323e-06,8.35937612503767,
baseline,basic_variable,80,80,1e-10,completed,0.26695658788500054,0.006515547020166101,0.024406766177925778,0.006515547020166101,4.509809197675935e-06,1.1675487326386159e-17,6.752888627504066e-08,1.292083856579626e-06,1.0640116293245128e-06,28.628119667060673,
baseline,dfn_control,20,20,1e-06,completed,0.2669565878850001,3.9968028886505635e-15,1.4971733495381322e-14,-3.885780586188048e-15,2.6676261395554653e-18,2.6676261395554653e-18,4.218847493575595e-15,3.9968028886505635e-15,0.0,2.32244133297354,
baseline,dfn_control,20,20,1e-08,completed,0.2669565878850001,3.941291737419306e-15,1.4763792752389916e-14,-3.885780586188048e-15,2.611629527678121e-18,2.611629527678121e-18,4.052314039881821e-15,3.941291737419306e-15,0.0,2.42442175000906,
baseline,dfn_control,20,20,1e-10,completed,0.2669565878850001,3.9968028886505635e-15,1.4971733495381322e-14,-3.9968028886505635e-15,2.655284308558278e-18,2.655284308558278e-18,4.163336342344337e-15,3.9968028886505635e-15,0.0,2.5292656660312787,
baseline,dfn_control,20,80,1e-10,completed,0.26695658788500065,3.3639757646142243e-14,1.2601209025279253e-13,3.347322419244847e-14,9.39412781953638e-18,9.39412781953638e-18,3.4083846855992306e-14,3.3639757646142243e-14,0.0,7.316311958013102,
